text_cleaning,slang_removal,tokenization,stemming,stopword_removal,final
di ss yang sy brikan developer openai sndiri yg bilang kalau ai yang mreka kembangkan itu pakai material yg bercopyright yang berarti sistemnya mencuri copyright ada utk melindungi karya kalau anda rasa etis pakai ai yang melanggar itu tiadakan saja sistem copyright skalian,di tangkapan layar yang saya berikan pengembang openai sendiri yang bilang kalau kecerdasan buatan yang mereka kembangkan itu pakai material yang berhak cipta yang berarti sistemnya mencuri copyright ada untuk melindungi karya kalau anda rasa etis pakai kecerdasan buatan yang melanggar itu tiadakan saja sistem copyright sekalian,"['di', 'tangkapan', 'layar', 'yang', 'saya', 'berikan', 'pengembang', 'openai', 'sendiri', 'yang', 'bilang', 'kalau', 'kecerdasan', 'buatan', 'yang', 'mereka', 'kembangkan', 'itu', 'pakai', 'material', 'yang', 'berhak', 'cipta', 'yang', 'berarti', 'sistemnya', 'mencuri', 'copyright', 'ada', 'untuk', 'melindungi', 'karya', 'kalau', 'anda', 'rasa', 'etis', 'pakai', 'kecerdasan', 'buatan', 'yang', 'melanggar', 'itu', 'tiadakan', 'saja', 'sistem', 'copyright', 'sekalian']","['di', 'tangkap', 'layar', 'yang', 'saya', 'ikan', 'kembang', 'openai', 'sendiri', 'yang', 'bilang', 'kalau', 'cerdas', 'buat', 'yang', 'mereka', 'kembang', 'itu', 'pakai', 'material', 'yang', 'hak', 'cipta', 'yang', 'arti', 'sistem', 'curi', 'copyright', 'ada', 'untuk', 'lindung', 'karya', 'kalau', 'anda', 'rasa', 'etis', 'pakai', 'cerdas', 'buat', 'yang', 'langgar', 'itu', 'tiada', 'saja', 'sistem', 'copyright', 'sekali']","['tangkap', 'layar', 'ikan', 'kembang', 'openai', 'bilang', 'cerdas', 'kembang', 'pakai', 'material', 'hak', 'cipta', 'arti', 'sistem', 'curi', 'copyright', 'lindung', 'karya', 'etis', 'pakai', 'cerdas', 'langgar', 'tiada', 'sistem', 'copyright']",tangkap layar ikan kembang openai bilang cerdas kembang pakai material hak cipta arti sistem curi copyright lindung karya etis pakai cerdas langgar tiada sistem copyright
front runner ai ada openai dan google masih banyak yg lain dan byk yg concern sy blg regulasi terkait akses tp how the ai works bagaimana transparannya pas generate gambar atau teks dll read first and then comment,depan pelari kecerdasan buatan ada openai dan google masih banyak yang lain dan banyak yang kekhawatiran saya bilang regulasi terkait akses tapi bagaimana the kecerdasan buatan kerja bagaimana transparannya pas hasilkan gambar atau teks dan lain-lain baca pertama dan kemudian komentar,"['depan', 'pelari', 'kecerdasan', 'buatan', 'ada', 'openai', 'dan', 'google', 'masih', 'banyak', 'yang', 'lain', 'dan', 'banyak', 'yang', 'kekhawatiran', 'saya', 'bilang', 'regulasi', 'terkait', 'akses', 'tapi', 'bagaimana', 'the', 'kecerdasan', 'buatan', 'kerja', 'bagaimana', 'transparannya', 'pas', 'hasilkan', 'gambar', 'atau', 'teks', 'dan', 'lain-lain', 'baca', 'pertama', 'dan', 'kemudian', 'komentar']","['depan', 'lari', 'cerdas', 'buat', 'ada', 'openai', 'dan', 'google', 'masih', 'banyak', 'yang', 'lain', 'dan', 'banyak', 'yang', 'khawatir', 'saya', 'bilang', 'regulasi', 'kait', 'akses', 'tapi', 'bagaimana', 'the', 'cerdas', 'buat', 'kerja', 'bagaimana', 'transparan', 'pas', 'hasil', 'gambar', 'atau', 'teks', 'dan', 'lain', 'baca', 'pertama', 'dan', 'kemudian', 'komentar']","['lari', 'cerdas', 'openai', 'google', 'khawatir', 'bilang', 'regulasi', 'kait', 'akses', 'cerdas', 'kerja', 'transparan', 'pas', 'hasil', 'gambar', 'teks', 'baca', 'komentar']",lari cerdas openai google khawatir bilang regulasi kait akses cerdas kerja transparan pas hasil gambar teks baca komentar
ini keren sih pake gpt untuk generate regex dari bahasa sehari-hari,ini keren sih pakai gpt untuk hasilkan regex dari bahasa sehari-hari,"['ini', 'keren', 'sih', 'pakai', 'gpt', 'untuk', 'hasilkan', 'regex', 'dari', 'bahasa', 'sehari-hari']","['ini', 'keren', 'sih', 'pakai', 'gpt', 'untuk', 'hasil', 'regex', 'dari', 'bahasa', 'hari']","['keren', 'pakai', 'gpt', 'hasil', 'regex', 'bahasa']",keren pakai gpt hasil regex bahasa
anjir ternyata gue bisa paham the entirety of it thanks to chatgpt pro tip kalo kalian bingung baca agreement hukum minta chat gpt jelasin pake baby language di part yg kalian ga paham works for meee,anjir ternyata aku bisa paham the keseluruhan dari itu terima kasih ke chatgpt pro tip kalau kalian bingung baca perjanjian hukum minta chat gpt jelaskan pakai sayang bahasa di bagian yang kalian tidak paham kerja untuk me,"['anjir', 'ternyata', 'aku', 'bisa', 'paham', 'the', 'keseluruhan', 'dari', 'itu', 'terima', 'kasih', 'ke', 'chatgpt', 'pro', 'tip', 'kalau', 'kalian', 'bingung', 'baca', 'perjanjian', 'hukum', 'minta', 'chat', 'gpt', 'jelaskan', 'pakai', 'sayang', 'bahasa', 'di', 'bagian', 'yang', 'kalian', 'tidak', 'paham', 'kerja', 'untuk', 'me']","['anjir', 'nyata', 'aku', 'bisa', 'paham', 'the', 'seluruh', 'dari', 'itu', 'terima', 'kasih', 'ke', 'chatgpt', 'pro', 'tip', 'kalau', 'kalian', 'bingung', 'baca', 'janji', 'hukum', 'minta', 'chat', 'gpt', 'jelas', 'pakai', 'sayang', 'bahasa', 'di', 'bagi', 'yang', 'kalian', 'tidak', 'paham', 'kerja', 'untuk', 'me']","['anjir', 'nyata', 'paham', 'terima', 'kasih', 'chatgpt', 'pro', 'tip', 'bingung', 'baca', 'janji', 'hukum', 'chat', 'gpt', 'pakai', 'sayang', 'bahasa', 'paham', 'kerja', 'me']",anjir nyata paham terima kasih chatgpt pro tip bingung baca janji hukum chat gpt pakai sayang bahasa paham kerja me
gpt is wrong,gpt adalah salah,"['gpt', 'adalah', 'salah']","['gpt', 'adalah', 'salah']","['gpt', 'salah']",gpt salah
upchar tuh emang seru apalagi waktu ngedit tapi kalo kena writters block mampus ditambah kalo mau pake gpt tulisannya gak nyambung fugh,upchar tuh memang seru apalagi waktu mengedit tapi kalau kena penulis memblokir mampus ditambah kalau mau pakai gpt tulisannya tidak sambung fugh,"['upchar', 'tuh', 'memang', 'seru', 'apalagi', 'waktu', 'mengedit', 'tapi', 'kalau', 'kena', 'penulis', 'memblokir', 'mampus', 'ditambah', 'kalau', 'mau', 'pakai', 'gpt', 'tulisannya', 'tidak', 'sambung', 'fugh']","['upchar', 'tuh', 'memang', 'seru', 'apalagi', 'waktu', 'edit', 'tapi', 'kalau', 'kena', 'tulis', 'blokir', 'mampus', 'tambah', 'kalau', 'mau', 'pakai', 'gpt', 'tulis', 'tidak', 'sambung', 'fugh']","['seru', 'edit', 'kena', 'tulis', 'blokir', 'mampus', 'pakai', 'gpt', 'tulis', 'sambung']",seru edit kena tulis blokir mampus pakai gpt tulis sambung
gpt is freedom,gpt adalah kebebasan,"['gpt', 'adalah', 'kebebasan']","['gpt', 'adalah', 'bebas']","['gpt', 'bebas']",gpt bebas
ini kalau chat gpt bentuknya org udh gw hug berapa kali,ini kalau chat gpt bentuknya orang sudah aku peluk berapa kali,"['ini', 'kalau', 'chat', 'gpt', 'bentuknya', 'orang', 'sudah', 'aku', 'peluk', 'berapa', 'kali']","['ini', 'kalau', 'chat', 'gpt', 'bentuk', 'orang', 'sudah', 'aku', 'peluk', 'berapa', 'kali']","['chat', 'gpt', 'bentuk', 'orang', 'peluk', 'kali']",chat gpt bentuk orang peluk kali
gpt ngerti gsi maksud guee ihhhh,gpt mengerti gsi maksud aku ihhhh,"['gpt', 'mengerti', 'gsi', 'maksud', 'aku', 'ihhhh']","['gpt', 'erti', 'gsi', 'maksud', 'aku', 'ihhhh']","['gpt', 'erti', 'maksud']",gpt erti maksud
sama bayar knp ga konsul tatap muka aja chat gpt can do better than this apk lah,sama bayar kenapa tidak konsul tatap muka aja chat gpt bisa lakukan lebih baik daripada ini aplikasi lah,"['sama', 'bayar', 'kenapa', 'tidak', 'konsul', 'tatap', 'muka', 'aja', 'chat', 'gpt', 'bisa', 'lakukan', 'lebih', 'baik', 'daripada', 'ini', 'aplikasi', 'lah']","['sama', 'bayar', 'kenapa', 'tidak', 'konsul', 'tatap', 'muka', 'aja', 'chat', 'gpt', 'bisa', 'laku', 'lebih', 'baik', 'daripada', 'ini', 'aplikasi', 'lah']","['bayar', 'konsul', 'tatap', 'muka', 'aja', 'chat', 'gpt', 'laku', 'aplikasi']",bayar konsul tatap muka aja chat gpt laku aplikasi
