text;sentimen
@ruliemaulana Di ss yang sy brikan developer openai sndiri yg bilang kalau AI yang mreka kembangkan itu pakai material yg bercopyright yang berarti sistemnya mencuri. Copyright ada utk melindungi karya kalau anda rasa etis pakai ai yang melanggar itu tiadakan saja sistem copyright skalian;negatif
@christia_wan @neohistoria_id Front runner AI ada OpenAI dan Google. Masih banyak yg lain dan byk yg concern. Sy g blg regulasi terkait akses tp How the AI works bagaimana transparannya pas generate gambar atau teks dll. Read first and then comment https://t.co/M7mmCCZTTh;negatif
ini keren sih. pake gpt3 untuk generate regex dari bahasa sehari-hari. https://t.co/GKP2Hbd2pn https://t.co/zXhqLT7iC8;positif
anjir ternyata gue bisa paham the entirety of it thanks to chatgpt pro tip: kalo kalian bingung baca agreement hukum minta chat gpt jelasin pake baby language di part yg kalian ga paham works for meee;positif
GPT is wrong;negatif
upchar tuh emang seru (apalagi waktu ngedit) TAPI KALO KENA WRITTERS BLOCK MAMPUS ditambah kalo mau pake gpt TULISANNYA GAK NYAMBUNG FUGH;negatif
GPT is Freedom!;positif
ini kalau chat gpt bentuknya org udh gw hug berapa kali https://t.co/LMYU7tw3Xe;positif
gpt ngerti gsi maksud guee ihhhh:( https://t.co/ERUW3KoCAX;negatif
sama2 bayar knp ga konsul tatap muka aja chat gpt can do better than this apk lah;positif
tenang nder kan ada chatgpt;positif
Udah mah skrg dah ada kasus karya pk chatgpt kasus plagiarism malah ikutan naik aja;negatif
HELPP gimana caranya reset chatgpt punyaku makin tolil gk jelass aaaa (╬▔皿▔)╯ https://t.co/q8k7WEM2lT;negatif
Chatgpt 4.0 tolol masa Bekasi kgk tau najis https://t.co/Oq7v51DuTV;negatif
Semenjak banyak org seliweran salkir bot stiker takutma jugaaaa chat bot ku Trust issue wkwkkw;negatif
AI bisa bantu banget dalam belajar bahasa Arab bikin prosesnya jadi lebih efisien dan efektif. Misalnya kita bisa pake chatbot AI buat bikin pengalaman belajar makin seru dan atasi masalah teknologi buat mahasiswa.;positif
SUMPAH MERINDINGG BENERAN TAKUTT LIAT CHAT BOT ITU. TAPI ENDINGNYA NANGIS;negatif
!bucin padahal cuma chat 2 minggu di bot anon tapi lupainnya susah amat ya https://t.co/4AlwqKLmQ5;negatif
Cari top orang Bali asli.. Dm ya Yang bot jgn chat;positif
Jelang Ulang Tahun Akun Weverse Jisung NCT Malah Jadi Bot?! Sikap random Jisung NCT kembali mencuri perhatian dengan mengubah akun Weverse-nya menjadi seperti akun chat bot. Netizen ramai berkomentar terkejut dengan kejutan menjelang ulang tahunnya. Apa reaksi kalian https://t.co/OOqisUD7nO;negatif
Cara chat indosat tapi bukan bot gimana ya?;negatif
Aku butuh pertolongan kalian nih guysss... Ada yang paham cara setting timer di chatbot streamelements gak? aku gak paham aku udah setting timernya tapi gak pernah keluar di live chat.. aku bingung https://t.co/ZI0OuspfJI;positif
kebanyakan bot sedih ga punya temen chat https://t.co/6FkdKdPMt8;positif
Butuh lebih Banyak point $CXT? Chat bot bebas tanyain apa yg ingin kamu tanyain https://t.co/iFq3d1RaD4;positif
bot stiker wa mana lg yg harus ku chat;negatif
salah satu fitur keren Analitica yang gak ada di platform lain adalah ICA - AI CHATBOT jadi fitur ini tuh bisa ngejelasin pembahasan yang rumit jadi mudah dipahami dengan bahasa kita sehari-hari! dan bisa diajak diskusi juga looh... https://t.co/Z26hjZ4MXM;positif
temen-temen ada yang bisa bantu aku ga? tolongin mba aku dia diancam sama manusia cabul dan nyebarin identitasnya kronologinya mbakku ini main bot anon tele awalnya ga aneh-aneh ya kaya chat orang normal biasanya. https://t.co/PrOZpKl8Pf;negatif
Korang! Korang boleh guna link ni untuk check klinik PrEP terdekat contact PrEP Navigator order free HIV self-test kit cari NGO terdekat dan check your mental health (using chatbot): https://t.co/en5DtD4XcW;positif
@BambiiGvrl Salam. Silakan dipastikan kembali tagihan iuran telah lunas sebelum melakukan pelaporan penonaktifan. Sahabat dapat cek tagihan iuran melalui layanan Care Center 165 atau Chatbot CHIKA (Chat Assistant JKN) melalui whatsapp di link https://t.co/bz2biDPF9J. Terima kasih. :) -bara;positif
@tonokr8s @haikalstr diweb info pemilu ada kak aku dapat info dari Chat bot KPU https://t.co/z4SbZEMejq https://t.co/ua2yhdsVA7;positif
Aplikasi AI Chatbot Terbaik 2024 https://t.co/Q7NLsX6f8K;positif
ada lowongan chatbot analyst di shopee lalu saya coba analisa kecocokkan antara resume saya di https://t.co/JLkeO77FiU dengan kualifikasi yang dibutuhkan minta untuk diberikan score skala 0 sampai 100 ternyata hasilnya segini.... https://t.co/y3PWUPN0xz;positif
Kalau @perplexity_ai lebih kontekstual terkait Indonesia jawaban #chatbot nya https://t.co/3y7OciPVjO;positif
@collegemenfess No. 9 itu dasar teori yg dipke buat ngelakuin penelitian. Cth skripsi ku ttg chatbot yg digunakan seller yg mempengaruhi keputusan buyer. chatbot ini kan sbuah teknologi. Jdi aku make teori TAM(Technology Acceptance Model). Ini teori ttg penerimaan sesuatu teknologi pd seseorang;positif
ada org mainn klasik bacot bgt. sampe chat all musuh ngatain bot pas di cek history rank nya yaelah bg https://t.co/I6XE82pMoY;negatif
5. Kalian dapat mengirim menfess melalui chatbot sesuai dengan trigger yang ada. https://t.co/Vdp63FjWUn;positif
Stop normalize yaelah pacaran virtual doang gak perlu dikabarin setiap hari lah eh tai lu pacaran sama manusia yaa anj bukan sama bot iya chat an gak harus tiap hari tapi minimal kalo bilang nya sibuk aku gak buka hp ya jangan aktif sosmed lah anj kita capek nungguin kntllll;positif
Chatgpt vs Copilot vs Gemini https://t.co/roaGfUbleH;positif
Natakaa ni andae space Tuzungumze kuhusu AI chatbot Na site nyingine Tuangazie katika maeneo yafwatayo 1. Forex 2. Ajira 3. Content creation Ongeza eneo unalotamani Tuzungumzie Ps: soon nta display speakers Watakapo confirm kushiriki;negatif
Gemini: Chatbot AI #Google Kini Hadir dengan Fitur Baru yang Menakjubkan! Gemini mampu melakukan berbagai tugas seperti menjawab pertanyaan menerjemahkan bahasa menulis berbagai teks kreatif bahkan membantu menyelesaikan pekerjaan. Selengkapnya: https://t.co/2zr5G3rfh4 https://t.co/dTHpfk969e;positif
Nyari chat bot bayuaji dmn ya? Hehehehe https://t.co/pYOoc85xhH;positif
